0.0316,0.1632,0.2207,1.3766,0.1908,4.9088,4.5632,2.0119,5.2219,0.1803,0.9867,1.5404,2.9511,4.9041,1.4999,1.1959,0.3757,1.2705,0.7758,1.8819,0.5514,4.9238,3.1472,1.1641,3.4478,1.5365,0.6835,6.0127,3.6329,5.6302,5.8250,2.2407,3.5205,3.5802,5.3492,2.0339,6.1593,5.8443,1.8346,2.4605,1.5809,5.0740,5.9326,5.8683,0.9602,2.9589,0.1676,2.6280,5.2445,5.3509,5.2906,0.3395,1.2704,0.2161,5.7930,5.6786,
0.0217,0.1532,0.2108,1.3765,0.1856,4.8998,4.5695,2.0106,5.2318,0.1882,0.9907,1.5456,2.9475,4.8942,1.4914,1.2046,0.3662,1.2803,0.7663,1.8914,0.5436,4.9244,3.1374,1.1542,3.4575,1.5464,0.6735,6.0028,3.6229,5.6401,5.8345,2.2324,3.5304,3.5895,5.3398,2.0239,6.1689,5.8542,1.8248,2.4506,1.5809,5.0640,5.9226,5.8583,0.9502,2.9689,0.1776,2.6380,5.2345,5.3409,5.3006,0.3295,1.2604,0.2261,5.8030,5.6886,
0.0137,0.1432,0.2021,1.3768,0.1905,4.9050,4.5639,2.0173,5.2273,0.1964,0.9884,1.5409,2.9402,4.8986,1.4840,1.1997,0.3584,1.2756,0.7600,1.8976,0.5353,4.9308,3.1313,1.1507,3.4592,1.5563,0.6635,5.9933,3.6152,5.6455,5.8384,2.2235,3.5287,3.5977,5.3303,2.0174,6.1771,5.8637,1.8158,2.4415,1.5809,5.0552,5.9134,5.8561,0.9519,2.9780,0.1751,2.6331,5.2290,5.3312,5.3037,0.3346,1.2515,0.2330,5.8114,5.6986,
0.0120,0.1341,0.1947,1.3771,0.1948,4.9096,4.5593,2.0183,5.2230,0.2035,0.9863,1.5369,2.9344,4.9032,1.4781,1.1961,0.3519,1.2714,0.7538,1.9054,0.5273,4.9353,3.1242,1.1495,3.4607,1.5634,0.6541,5.9844,3.6115,5.6518,5.8451,2.2167,3.5239,3.6042,5.3207,2.0158,6.1860,5.8734,1.8065,2.4323,1.5809,5.0476,5.9077,5.8531,0.9485,2.9862,0.1712,2.6271,5.2248,5.3280,5.3075,0.3408,1.2432,0.2384,5.8185,5.7083,
0.0097,0.1258,0.1878,1.3772,0.1972,4.9124,4.5544,2.0206,5.2201,0.2106,0.9849,1.5345,2.9311,4.9062,1.4716,1.1943,0.3469,1.2688,0.7464,1.9135,0.5198,4.9378,3.1170,1.1475,3.4634,1.5707,0.6447,5.9760,3.6130,5.6546,5.8529,2.2092,3.5203,3.6112,5.3248,2.0178,6.1948,5.8828,1.7971,2.4229,1.5809,5.0413,5.9029,5.8472,0.9433,2.9947,0.1683,2.6197,5.2193,5.3253,5.3097,0.3468,1.2375,0.2434,5.8261,5.7180,
0.0119,0.1184,0.1854,1.3773,0.1991,4.9147,4.5502,2.0256,5.2174,0.2174,0.9838,1.5324,2.9281,4.9091,1.4671,1.1928,0.3423,1.2667,0.7387,1.9214,0.5123,4.9389,3.1111,1.1471,3.4680,1.5777,0.6358,5.9693,3.6152,5.6559,5.8600,2.2011,3.5155,3.6182,5.3310,2.0196,6.2026,5.8923,1.7876,2.4133,1.5809,5.0383,5.9006,5.8484,0.9435,3.0031,0.1682,2.6177,5.2121,5.3233,5.3103,0.3515,1.2343,0.2471,5.8326,5.7278,
0.0172,0.1122,0.1869,1.3769,0.1989,4.9174,4.5456,2.0322,5.2143,0.2236,0.9833,1.5314,2.9269,4.9124,1.4619,1.1922,0.3379,1.2650,0.7317,1.9291,0.5062,4.9415,3.1039,1.1439,3.4717,1.5852,0.6268,5.9627,3.6179,5.6579,5.8661,2.1940,3.5131,3.6260,5.3377,2.0234,6.2083,5.9018,1.7782,2.4035,1.5809,5.0329,5.8955,5.8535,0.9405,3.0120,0.1709,2.6199,5.2044,5.3187,5.3136,0.3530,1.2325,0.2533,5.8402,5.7374,
0.0185,0.1050,0.1836,1.3766,0.1985,4.9198,4.5418,2.0382,5.2121,0.2307,0.9850,1.5307,2.9256,4.9151,1.4553,1.1916,0.3332,1.2643,0.7242,1.9372,0.4994,4.9444,3.0959,1.1391,3.4776,1.5935,0.6180,5.9552,3.6216,5.6597,5.8731,2.1860,3.5096,3.6335,5.3360,2.0278,6.2154,5.9116,1.7685,2.3937,1.5809,5.0263,5.8890,5.8547,0.9360,3.0212,0.1763,2.6209,5.1961,5.3123,5.3194,0.3503,1.2290,0.2605,5.8485,5.7467,
0.0198,0.0973,0.1798,1.3761,0.1977,4.9218,4.5386,2.0451,5.2098,0.2378,0.9871,1.5302,2.9247,4.9178,1.4493,1.1914,0.3286,1.2638,0.7190,1.9436,0.4923,4.9452,3.0873,1.1336,3.4837,1.6013,0.6090,5.9476,3.6253,5.6607,5.8774,2.1785,3.5065,3.6404,5.3348,2.0314,6.2227,5.9213,1.7588,2.3837,1.5809,5.0202,5.8836,5.8577,0.9327,3.0301,0.1801,2.6225,5.1879,5.3078,5.3244,0.3494,1.2257,0.2653,5.8554,5.7560,
0.0215,0.0912,0.1782,1.3757,0.1969,4.9246,4.5352,2.0521,5.2069,0.2450,0.9899,1.5297,2.9245,4.9214,1.4457,1.1918,0.3241,1.2629,0.7131,1.9502,0.4861,4.9469,3.0787,1.1274,3.4881,1.6077,0.6008,5.9398,3.6298,5.6608,5.8822,2.1713,3.5060,3.6479,5.3345,2.0357,6.2298,5.9303,1.7499,2.3736,1.5809,5.0156,5.8795,5.8607,0.9326,3.0379,0.1809,2.6242,5.1792,5.3043,5.3275,0.3514,1.2217,0.2685,5.8623,5.7655,
